hotel_name,hotel_rank,hotel_address,rating,languages_spoken,hotel_style,restaurants_nearby,attractions_nearby,price_range,no_of_rooms
"ITC Windsor, Bengaluru - a Luxury Collection Hotel","#6 of 1,715 Hotels in Bengaluru","25 Windsor Square, Bengaluru 560052 India",5.0,"English, Hindi","Classic,Historic Hotel",115,16,US$101 - US$198 (Based on Average Rates for a Standard Room) ,240
"ITC Maurya, a Luxury Collection Hotel, New Delhi","#9 of 1,978 Hotels in New Delhi","Diplomatic Enclave Sadar Patel Marg, New Delhi 110021 India",4.5,"English, Hindi","Business,Family",29,5,US$139 - US$222 (Based on Average Rates for a Standard Room) ,437
ITC Grand Goa - A Luxury Collection Resort & Spa,#2 of 6 Hotels in Cansaulim,"Arossim Beach, Cansaulim 403712 India",4.5,"English, Hindi",Great View,19,1,US$125 - US$343 (Based on Average Rates for a Standard Room) ,252
"ITC Grand Bharat A Luxury Collection Retreat, Gurugram",#8 of 756 Hotels in Gurugram (Gurgaon),"Hasanpur, Tauru Mewat District, Gurugram (Gurgaon) 122 105 India",4.5,"English, Hindi","Luxury,Hidden Gem",,,US$193 - US$459 (Based on Average Rates for a Standard Room) ,104
"ITC Rajputana, Jaipur - a Luxury Collection Hotel",#32 of 962 Hotels in Jaipur,"Palace Road, Jaipur 302006 India",4.5,"English, Hindi","Family,Art Deco Style",91,3,US$63 - US$180 (Based on Average Rates for a Standard Room) ,218
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",#14 of 936 Hotels in Chennai,"No 63 Mount Road Guindy, Chennai 600032 India",4.5,"English, Hindi, Tamil","Classic,City View",61,6,US$128 - US$251 (Based on Average Rates for a Standard Room) ,600
"ITC Mughal, Agra- a Luxury Collection Hotel",#11 of 393 Hotels in Agra,"Fatehabad Rd, Tajganj, Agra 282001 India",4.5,"English, Hindi","Family,Park View",22,5,US$63 - US$125 (Based on Average Rates for a Standard Room) ,233
"ITC Grand Central, Mumbai - a Luxury Collection Hotel","#8 of 1,061 Hotels in Mumbai","287 Dr Babasaheb Ambedkar Road Parel, Mumbai 400012 India",4.5,"English, Hindi","Family,City View",74,7,US$124 - US$215 (Based on Average Rates for a Standard Room) ,242
"ITC Maratha, Mumbai - a Luxury Collection Hotel","#5 of 1,061 Hotels in Mumbai","Sahar Airport Road, Near International Airport Andheri, Mumbai 400099 India",4.5,"English, Hindi","Green,Family",138,6,US$130 - US$267 (Based on Average Rates for a Standard Room) ,380
"ITC Kakatiya, Hyderabad - a Luxury Collection Hotel",#8 of 814 Hotels in Hyderabad,"6 -3 -1187 Begumpet, Hyderabad 500016 India",4.5,"English, Hindi","Business,Classic",32,4,US$105 - US$163 (Based on Average Rates for a Standard Room) ,188
"ITC Kohenur, Hyderabad - a Luxury Collection Hotel",#1 of 814 Hotels in Hyderabad,"Plot No 5 1 Hyderabad Knowledge City Survey No 83, Hyderabad 500081 India",5.0,"English, Hindi",,50,4,US$124 - US$272 (Based on Average Rates for a Standard Room) ,274
"ITC Gardenia, Bengaluru - a Luxury Collection Hotel","#25 of 1,715 Hotels in Bengaluru","No 1 Residency Road, Bengaluru 560025 India",4.5,"English, Hindi","City View,Luxury",85,6,US$149 - US$235 (Based on Average Rates for a Standard Room) ,292
"ITC Sonar, Kolkata - a Luxury Collection Hotel",#5 of 744 Hotels in Kolkata,"1 Jbs Haldane Avenue, Kolkata 700046 India",4.5,"English, Spanish, Hindi",,31,1,US$104 - US$264 (Based on Average Rates for a Standard Room) ,237
ITC Royal Bengal - A Luxury Collection Hotel,#8 of 744 Hotels in Kolkata,"1 JBS Haldane Avenue, Kolkata 700046 India",5.0,"English, Hindi, Japanese, Nepali",,34,1,US$100 - US$231 (Based on Average Rates for a Standard Room) ,456
Sheraton New Delhi Hotel,"#7 of 1,978 Hotels in New Delhi","District Centre, Saket, New Delhi 110017 India",4.5,"English, Hindi",Business,83,6,US$99 - US$179 (Based on Average Rates for a Standard Room) ,220
